t,u,y
2820,1.5,5.479461788798147
2830,1.5,5.4224076902327125
2840,1.5,5.372190763954014
2850,1.5,5.327406677541158
2860,1.5,5.287050270119925
2870,1.5,5.250377092494193
2880,1.5,5.216820201874562
2890,1.5,5.185937696943706
2900,1.5,5.15737829865196
2910,1.5,5.130858006412713
2920,1.5,5.106143811391023
2930,1.5,5.083042052927274
2940,1.5,5.061389915754702
2950,1.5,5.041049103890548
2960,1.5,5.021901055616947
2970,1.5,5.00384327046962
2980,1.5,4.986786452361051
2990,1.5,4.9706522609071415
3000,1.5,4.955371522304693
3010,1.5,4.940882791822378
3020,1.5,4.9271311884143945
3030,1.5,4.91406744215286
3040,1.5,4.901647109706119
3050,1.5,4.889829923688484
3060,1.5,4.878579249531044
3070,1.5,4.867861629364466
3080,1.5,4.857646396811404
3090,1.5,4.847905349943025
3100,1.5,4.8386124722346215
3110,1.5,4.829743693355842
3120,1.5,4.821276683194443
3130,1.5,4.813190673743411
3140,1.5,4.805466304457249
3150,1.5,4.798085487462332
3160,1.5,4.791031289631904
3170,1.5,4.784287829041885
3180,1.5,4.777840183734444
3190,1.5,4.771674311051781
3200,1.5,4.765776976078013
3210,1.5,4.7601356879542065
3220,1.5,4.754738643019797
3230,1.5,4.749574673890185
3240,1.5,4.744633203711113
3250,1.5,4.739904204940015
3260,1.5,4.735378162096842
3270,1.5,4.731046038004698
3280,1.5,4.7268992431066215
3290,1.5,4.722929607500824
3300,1.5,4.719129355384449
3310,1.5,4.71549108163667
3320,1.5,4.712007730306804
3330,1.5,4.70867257480309
3340,1.5,4.705479199603527
3350,1.5,4.702421483332353
3360,1.5,4.699493583064923
3370,1.5,4.696689919740326
3380,1.5,4.694005164575439
3390,1.5,4.691434226386638
3400,1.5,4.688972239736175
3410,1.5,4.6866145538297515
3420,1.5,4.68435672210002
3430,1.5,4.682194492417963
3440,1.5,4.680123797880412
3450,1.5,4.678140748127474
3460,1.5,4.6762416211485025
3470,1.5,4.674422855539491
3480,1.5,4.672681043178506
3490,1.5,4.671012922289119
3500,1.5,4.669415370864649
3510,1.5,4.6678854004286645
3520,1.5,4.666420150109421
3530,1.5,4.665016881007975
3540,1.5,4.663672970841461
3550,1.5,4.66238590884467
3560,1.5,4.661153290914439
3570,1.5,4.65997281498265
3580,1.5,4.658842276604787
3590,1.5,4.657759564751988
3600,6.5,4.663583270763727
3610,6.5,4.746941980196707
3620,6.5,4.8249520977042195
3630,6.5,4.89905454160791
3640,6.5,4.97034046410054
3650,6.5,5.039682000521831
3660,6.5,5.107815371344497
3670,6.5,5.175398431051579
3680,6.5,5.243054963948205
3690,6.5,5.311413586618018
3700,6.5,5.381147458605095
3710,6.5,5.45302126410233
3720,6.5,5.527954250276175
3730,6.5,5.607113761035795
3740,6.5,5.692066183801353
3750,6.5,5.785040787520406
3760,6.5,5.8894332048888005
3770,6.5,6.0108769865045275
3780,6.5,6.159892963220449
3790,6.5,6.36013603145709
3800,6.5,6.687833434474886
3810,6.5,9.107739324334393
3820,6.5,10.691459126687478
3830,6.5,10.971485763300093
3840,6.5,11.129898814508948
3850,6.5,11.238153414480191
3860,6.5,11.31890436604492
3870,6.5,11.382294547357123
3880,6.5,11.433750427818527
3890,6.5,11.476517215012626
3900,6.5,11.512690730232416
3910,6.5,11.543703122895428
3920,6.5,11.570576340175823
3930,6.5,11.594065053723082
3940,6.5,11.61474228258363
3950,6.5,11.633053247727496
3960,6.5,11.649350631182793
3970,6.5,11.663918450054474
3980,6.5,11.676988691078348
3990,6.5,11.688753190547521
4000,6.5,11.699372303038858
4010,6.5,11.708981347724915
4020,6.5,11.717695483119739
4030,6.5,11.725613449041427
4040,6.5,11.732820477975036
4050,6.5,11.739390587956299
4060,6.5,11.745388408460352
4070,6.5,11.75087064917702
4080,6.5,11.755887292516766
4090,6.5,11.760482570104708
4100,6.5,11.76469576871449
4110,6.5,11.768561900304432
4120,6.5,11.772112262860203
4130,6.5,11.775374912811753
4140,6.5,11.778375065317613
4150,6.5,11.78113543530398
4160,6.5,11.78367652953046
4170,6.5,11.786016897928416
4180,6.5,11.788173350876285
4190,6.5,11.790161147832281
4200,6.5,11.791994161759586
4210,6.5,11.793685022993573
4220,6.5,11.795245245570378
4230,6.5,11.796685338527476
4240,6.5,11.798014904274195
4250,6.5,11.799242725793267
4260,6.5,11.800376844158416
4270,6.5,11.801424627625446
4280,6.5,11.802392833365882
4290,6.5,11.803287662755741
4300,6.5,11.804114811001153
4310,6.5,11.804879511773073
4320,6.5,11.805586577431018
4330,6.5,11.806240435337909
4340,6.5,11.806845160702029
4350,6.5,11.807404506325968
4360,6.5,11.80792192959443
4370,6.5,11.808400616991738
4380,6.5,11.808843506404628
4390,6.5,11.809253307435444
4400,6.5,11.809632519924698
4410,6.5,11.809983450859056
4420,6.5,11.81030822982116
4430,6.5,11.810608823120313
4440,6.5,11.810887046728102
4450,6.5,11.811144578129731
4460,6.5,11.811382967190326
4470,6.5,11.811603646125153
4480,6.5,11.811807938653795
4490,6.5,11.811997068410273
4500,6.8,11.812624929693117
4510,6.8,11.818310372666632
4520,6.8,11.823500316269673
4530,6.8,11.828243087900832
4540,6.8,11.83258146697095
4550,6.8,11.836553456631107
4560,6.8,11.840192926491135
4570,6.8,11.84353015147676
4580,6.8,11.846592266424246
4590,6.8,11.849403651819117
4600,6.8,11.851986262887612
4610,6.8,11.854359911788737
4620,6.8,11.856542510744998
4630,6.8,11.858550282456477
4640,6.8,11.860397942966221
4650,6.8,11.862098861211514
4660,6.8,11.863665198750324
4670,6.8,11.865108032553374
4680,6.8,11.866437463268534
4690,6.8,11.867662710970897
4700,6.8,11.868792200090901
4710,6.8,11.86983363494908
4720,6.8,11.870794067108584
4730,6.8,11.871679955576397
4740,6.8,11.872497220734195
4750,6.8,11.873251292754366
4760,6.8,11.873947155151662
4770,6.8,11.87458938403217
4780,6.8,11.875182183526535
4790,6.8,11.87572941783066
4800,6.8,11.87623464022305
4810,6.8,11.876701119381673
4820,6.8,11.877131863283582
4830,6.8,11.87752964093642
4840,6.8,11.877897002161522
4850,6.8,11.87823629562293
4860,6.8,11.878549685274452
4870,6.8,11.878839165377816
4880,6.8,11.879106574228087
4890,6.8,11.87935360670794
4900,6.8,11.879581825779457
4910,6.8,11.879792673010844
4920,6.8,11.879987478225466
4930,6.8,11.880167468351832
4940,6.8,11.880333775545282
4950,6.8,11.880487444645288
4960,6.8,11.880629440026091
4970,6.8,11.88076065189286
4980,6.8,11.88088190207074
4990,6.8,11.880993949329708
5000,6.8,11.881097494284235
5010,6.8,11.881193183903246
5020,6.8,11.881281615662667
5030,6.8,11.881363341369982
5040,6.8,11.881438870687665
5050,6.8,11.881508674380024
5060,6.8,11.881573187305806
5070,6.8,11.88163281117712
5080,6.8,11.8816879171034
5090,6.8,11.881738847937575
5100,6.8,11.881785920440224
5110,6.8,11.881829427276124
5120,6.8,11.881869638856452
5130,6.8,11.881906805038799
5140,6.8,11.881941156696156
5150,6.8,11.881972907165167
5160,6.8,11.882002253583043
5170,6.8,11.88202937812185
5180,6.8,11.882054449128134
5190,6.8,11.882077622175242
5200,6.8,11.882099041035103
5210,6.8,11.882118838575689
5220,6.8,11.882137137589902
5230,6.8,11.882154051561182
5240,6.8,11.882169685370682
5250,6.8,11.882184135950537
5260,6.8,11.882197492887345
5270,6.8,11.882209838979678
5280,6.8,11.882221250753158
5290,6.8,11.882231798936342
5300,6.8,11.882241548900405
5310,6.8,11.88225056106541
5320,6.8,11.882258891275688
5330,6.8,11.882266591146703
5340,6.8,11.882273708385577
5350,6.8,11.882280287087287
5360,6.8,11.882286368008353
5370,6.8,11.882291988819787
5380,6.8,11.882297184340835
5390,6.8,11.88230198675499
5400,3.0,11.877525504550004
5410,3.0,11.813029590139408
5420,3.0,11.741534902060428
5430,3.0,11.66079389854486
5440,3.0,11.567287339620009
5450,3.0,11.455036871623053
5460,3.0,11.312596244970523
5470,3.0,11.113311980903338
5480,3.0,10.76456211834202
5490,3.0,7.405234160396097
5500,3.0,6.521180093661399
5510,3.0,6.255008568820346
5520,3.0,6.095092975933968
5530,3.0,5.981497385171417
5540,3.0,5.8940150644212705
5550,3.0,5.8233370333823125
5560,3.0,5.764395944783735
5570,3.0,5.714124577145228
5580,3.0,5.670523648503203
5590,3.0,5.632216483403434
5600,3.0,5.598214072889403
5610,3.0,5.5677814835441115
5620,3.0,5.540357294742547
5630,3.0,5.51550265328646
5640,3.0,5.492867770206341
5650,3.0,5.4721691509698225
5660,3.0,5.453173680131584
5670,3.0,5.435687224314356
5680,3.0,5.419546296490962
5690,3.0,5.404611844781173
5700,3.0,5.390764547199374
5710,3.0,5.377901194173989
5720,3.0,5.365931870132076
5730,3.0,5.354777731041687
5740,3.0,5.344369232577978
5750,3.0,5.3346447033062185
5760,3.0,5.325549185059463
5770,3.0,5.3170334824234065
5780,3.0,5.309053377457874
5790,3.0,5.301568976160491
5800,3.0,5.294544160842311
5810,3.0,5.287946128309664
5820,3.0,5.281744998066384
5830,3.0,5.275913478041961
5840,3.0,5.2704265778814525
5850,3.0,5.265261361794533
5860,3.0,5.260396734493591
5870,3.0,5.255813254957115
5880,3.0,5.251492973710586
5890,3.0,5.247419290079828
5900,3.0,5.243576826483898
5910,3.0,5.2399513173288925
5920,3.0,5.23652951046528
5930,3.0,5.23329907949886
5940,3.0,5.230248545513991
5950,3.0,5.227367206989136
5960,3.0,5.224645076867924
5970,3.0,5.222072825901307
5980,3.0,5.219641731503575
5990,3.0,5.21734363147155
6000,3.0,5.215170882006005
6010,3.0,5.213116319550055
6020,3.0,5.21117322602347
6030,3.0,5.2093352970863975
6040,3.0,5.20759661311256
6050,3.0,5.205951612591801
6060,3.0,5.204395067716059
6070,3.0,5.202922061932282
6080,3.0,5.201527969271185
6090,3.0,5.200208435282805
6100,3.0,5.198959359428837
6110,3.0,5.1977768787984076
6120,3.0,5.196657353028436
6130,3.0,5.195597350322401
6140,3.0,5.194593634472473
6150,3.0,5.193643152799747
6160,3.0,5.192743024935911
6170,3.0,5.191890532377313
6180,3.0,5.191083108749079
6190,3.0,5.1903183307229614
6200,3.0,5.189593909537823
6210,3.0,5.18890768307644
6220,3.0,5.188257608456508
6230,3.0,5.187641755097461
6240,3.0,5.187058298228142
6250,3.0,5.186505512803339
6260,3.0,5.185981767799951
6270,3.0,5.185485520865976
6280,3.0,5.18501531329774
6290,3.0,5.1845697653227525
6300,6.8,5.189904305960121
6310,6.8,5.263734488693993
