t,x1,x2,y,u
2600.0,2.487644450007033e-05,2.5123555499929665e-05,10.393068964948476,5.05
2610.0,2.4876391191025808e-05,2.5123608808974178e-05,10.39325615166562,5.05
2620.0,2.4876341336663182e-05,2.512365866333681e-05,10.393431134868283,5.05
2630.0,2.487629471310249e-05,2.5123705286897508e-05,10.393594714598596,5.05
2640.0,2.487625111097225e-05,2.5123748889027742e-05,10.393747637889572,5.05
2650.0,2.487621033446929e-05,2.5123789665530705e-05,10.393890602347641,5.05
2660.0,2.4876172200479404e-05,2.5123827799520598e-05,10.394024259484665,5.05
2670.0,2.487613653775505e-05,2.512386346224495e-05,10.394149217817322,5.05
2680.0,2.487610318614637e-05,2.5123896813853627e-05,10.394266045751378,5.05
2690.0,2.487607199588197e-05,2.5123928004118025e-05,10.394375274266675,5.05
2700.0,2.4876042826896384e-05,2.512395717310361e-05,10.39447739941716,6.0
2710.0,2.4724105473554582e-05,2.527589452644542e-05,10.741808356237238,6.0
2720.0,2.458291145629352e-05,2.5417088543706486e-05,10.921273604864764,6.0
2730.0,2.445170112472042e-05,2.554829887527958e-05,11.040056184790368,6.0
2740.0,2.432976854255095e-05,2.5670231457449052e-05,11.127260686112757,6.0
2750.0,2.421645768953911e-05,2.578354231046089e-05,11.195096732874337,6.0
2760.0,2.411115893196481e-05,2.5888841068035185e-05,11.249857423103045,6.0
2770.0,2.401330574268972e-05,2.5986694257310283e-05,11.29521527531506,6.0
2780.0,2.392237165313456e-05,2.6077628346865453e-05,11.333501240113824,6.0
2790.0,2.3837867420779087e-05,2.616213257922092e-05,11.366287589196016,6.0
2800.0,2.375933839694524e-05,2.6240661603054764e-05,11.394685013831667,6.0
2810.0,2.368636208070161e-05,2.631363791929839e-05,11.419507162820144,6.0
2820.0,2.361854584572897e-05,2.6381454154271035e-05,11.441367816679199,6.0
2830.0,2.3555524827916658e-05,2.6444475172083345e-05,11.460741303422134,6.0
2840.0,2.349695996232509e-05,2.650304003767491e-05,11.47800167479137,6.0
2850.0,2.3442536158952505e-05,2.65574638410475e-05,11.493449018015651,6.0
2860.0,2.3391960607491392e-05,2.660803939250861e-05,11.507327661828857,6.0
2870.0,2.334496120195401e-05,2.665503879804599e-05,11.519839100523365,6.0
2880.0,2.3301285076690894e-05,2.6698714923309105e-05,11.5311513748671,6.0
2890.0,2.326069724592604e-05,2.673930275407397e-05,11.541406015483739,6.0
2900.0,2.322297933948924e-05,2.677702066051077e-05,11.55072327162756,6.0
